year,state,district,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2018,NM,1,514775,249488,265287,697064,550912,28291,24021,350078,487426,89834,77058,697064,47021,102363,88209,83581,49646,46169,551116,523312,117458,278769,25070,15377,29630,30755,36871,48069,29976,36428,12140,14453
2018,NM,2,484702,239241,245461,700113,585804,18183,8788,390187,454457,57982,37102,700113,50571,88695,82164,76468,40289,44431,529191,496000,122410,256162,25382,21088,37311,30106,32382,42346,26526,24782,10148,6091
2018,NM,3,507907,246780,261127,698251,463222,14605,14386,288964,474598,73919,55817,698251,41271,88095,85888,79879,46551,45573,534884,507110,128612,259162,26495,13590,26445,26193,38881,47457,29096,29485,11440,10080
2018,NV,1,418811,211011,207800,685427,339750,101505,65664,311043,466958,52360,21441,685427,50888,106873,90847,89863,42793,36921,533900,507274,99661,255618,29082,14858,33652,34506,41936,46040,24662,19701,5533,5648
2018,NV,2,531489,268234,263255,729771,578423,20293,40443,168405,510159,87639,50238,729771,43881,102619,89114,92101,48616,51629,571402,544481,126080,289415,13529,9791,21203,23950,39848,57545,41563,48053,17563,16370
2018,NV,3,607915,298190,309725,846761,534704,88588,152526,154616,605199,127432,71962,846761,41825,127281,124604,116330,53672,49573,663679,636854,133739,316876,12911,7479,18762,23163,40384,58166,47103,54663,26004,28241
2018,NV,4,516951,258915,258036,772433,472099,127274,59377,247081,514258,72244,38518,772433,43782,105940,100563,97873,45978,48264,576191,547657,115640,267901,18846,9539,24473,24262,39126,45829,37034,41286,17052,10454
2018,NY,1,530436,257571,272865,718726,616452,52726,36095,114404,502039,101843,82752,718726,44410,85559,80749,104644,54041,48042,566670,537455,129004,250870,9227,7105,13944,12819,21588,31973,32286,51746,32213,37969
2018,NY,10,473542,221514,252028,711678,495680,30485,149710,91548,508878,163315,154602,711678,46021,130190,98833,90163,38879,36654,571862,546976,114159,307017,18180,14241,23714,17871,25788,30826,28866,45620,24025,77886
2018,NY,11,500998,237048,263950,732886,498843,67939,120471,134490,513642,115164,71844,732886,41460,99140,92019,99077,51195,48634,571539,548426,123577,263966,18338,13045,21900,16333,24226,36447,31361,47397,27412,27507
2018,NY,12,530252,250793,279459,698928,506188,43192,112734,86523,556586,218684,193135,698928,48762,196531,104600,73487,35594,36166,620147,597386,110208,356778,18323,12220,21083,17290,18301,39776,36689,59082,39811,94203
2018,NY,13,505003,232128,272875,795633,203890,265996,45399,438038,566265,107793,72189,795633,55310,160710,115036,99581,47902,41398,636127,612407,101638,294395,40741,23606,35538,23650,35282,44853,30120,32680,12641,15284
2018,NY,14,392398,194391,198007,706440,298774,86226,130229,356722,504062,90140,48601,706440,40194,124000,117747,89880,42359,35621,557086,536561,94455,244262,14152,10858,25543,21104,32319,41535,32670,37951,15448,12682
2018,NY,15,410819,184098,226721,743959,128998,295624,22143,486485,460179,47762,16831,743959,59900,118431,90302,93419,43050,34636,542855,508335,80341,259910,49286,27621,37269,29320,34947,36440,21690,15071,4799,3467
2018,NY,16,498243,223699,274544,732981,334077,254536,43763,197260,511487,105739,102785,732981,42596,93650,93320,97468,51695,47552,572198,546900,127802,272787,21192,11840,22263,21330,26935,39131,30437,39689,19229,40741
2018,NY,17,502861,241981,260880,741445,516482,91169,53201,159483,491609,120849,116306,741445,51157,83612,90522,99191,46638,47508,562143,531956,124138,248008,8346,8363,16440,14676,16900,32075,27020,45731,28465,49992
2018,NY,18,524373,258678,265695,722226,550259,85112,28809,128645,484791,96501,79647,722226,51125,85173,83737,103138,51495,50432,557161,527233,110816,251264,10380,8336,18382,17339,22405,37030,31352,43682,27043,35315
2018,NY,19,553713,276166,277547,700310,614586,46115,15361,57945,505428,84023,66262,700310,44809,78882,76338,96412,55798,53879,571852,539132,144119,271736,13969,14507,23232,24019,31412,48464,38213,42154,18913,16853
2018,NY,2,515987,252580,263407,709605,555103,76798,26763,169226,492875,86942,69758,709605,48697,86055,91832,103468,54791,47744,559561,533854,108985,226611,7402,6563,10485,11225,16036,30445,29452,50032,30922,34049
2018,NY,20,557251,266403,290848,722529,567734,91690,44688,49509,491277,99392,94042,722529,61325,94615,85325,92317,47527,48185,580696,539173,123308,289470,15521,9955,25872,24073,34059,49063,38516,51842,21308,19261
2018,NY,21,551303,283623,267680,701112,643832,28099,10292,24214,490781,66334,56020,701112,50208,87071,80240,94664,52356,50563,562725,531440,125887,278649,15580,13824,27322,24271,40707,54260,37534,39570,14706,10875
2018,NY,22,539437,265317,274120,697372,619968,38199,25978,27245,477783,67090,54751,697372,50760,83989,74636,87181,50321,51159,554744,517062,130497,271702,17611,15223,28853,28057,36148,51910,35207,35916,13986,8791
2018,NY,23,544564,267455,277109,693764,626291,28904,20176,28333,473876,63366,59165,693764,55495,80590,75213,84977,52084,50500,557276,515556,130512,279327,18992,17961,31745,28505,37673,52552,37263,35764,10222,8650
2018,NY,24,539797,260293,279504,701664,591774,72578,23630,32587,483948,82685,68528,701664,47864,90597,78168,91408,51897,49717,555271,521028,122161,279952,17553,13686,27120,24580,36723,49708,36247,45362,14781,14192
2018,NY,25,543698,257318,286380,718565,537966,125680,33928,66334,496802,108083,89878,718565,50481,102318,82337,90702,45431,52724,568837,536745,123290,291950,20669,16144,28290,27122,34171,49103,35926,46101,19153,15271
2018,NY,26,539694,255091,284603,707190,497126,144951,36133,49758,493407,93484,72145,707190,48625,108360,80013,86367,47279,48137,563727,531609,123251,306927,26967,18963,33518,32045,37571,54786,40375,37562,13548,11592
2018,NY,27,564383,278943,285440,712904,667423,21074,10251,19233,515913,88994,74414,712904,38963,83589,79370,99945,58164,57742,572276,546945,137103,289472,11283,11338,23472,25617,37551,55115,37707,48942,22377,16070
2018,NY,3,521235,248504,272731,707576,518549,26362,135333,73370,506822,146369,136386,707576,42867,72007,73572,103955,57036,53632,563726,541612,146620,247880,9369,5172,11129,11784,13516,26774,23218,47619,34213,65086
2018,NY,4,506457,240633,265824,729582,468149,122891,59322,162277,504635,118988,97526,729582,45457,89444,93010,99802,49525,47462,567895,540100,125392,237243,7285,5016,12881,13138,17900,26027,27474,46288,34915,46319
2018,NY,5,501784,232458,269326,757972,132518,393912,124851,135856,525692,95675,48845,757972,49875,112574,90956,104392,56716,50407,593639,564488,110647,229294,12830,8905,16880,15771,23582,38404,30492,41891,20808,19731
2018,NY,6,448065,212441,235624,734183,313127,34836,304351,153419,546791,128252,80115,734183,37005,108080,95076,103888,55633,53828,597591,576391,130286,271901,16058,11662,21810,23991,29600,45339,36308,44485,21189,21459
2018,NY,7,446196,214479,231717,720811,363279,90495,135183,286681,492168,110468,72353,720811,45576,141628,102581,85529,40416,37033,551809,530943,84981,256906,25438,16519,26739,18457,24267,33916,25521,35008,19608,31433
2018,NY,8,540660,233029,307631,791211,246189,421526,60517,141315,553549,119930,77256,791211,51996,140282,107866,94940,46253,45379,621053,595089,118829,303604,36850,18596,26943,24747,34108,41009,33705,40250,22439,24957
2018,NY,9,486880,218455,268425,730957,262344,358917,69950,81623,521058,118905,88560,730957,43119,135821,100427,87343,43749,43659,577058,555664,110059,285134,22367,16360,24314,21961,29497,45520,33659,44600,21569,25287
