year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,College Graduate"
2020,AZ,8,0,422449,422449,1,r,595539,280767,314772,798544,661387,47959,45413,172609,569334,113324,66146,798544,39069,95781,95688,98217,49930,51218,626365,599795,178500,293215,16122,6328,18978,19029,33836,53707,47591,55146,24749,17729,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,AZ,9,217094,135180,352274,1,d,584808,291525,293283,818850,615343,69957,53565,218122,553626,144098,84924,818850,76095,167249,109990,94295,42058,40287,653544,614116,99747,323109,18034,10170,24768,25647,44878,61755,39330,52341,19005,27181,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,1,154073,204190,358263,1,r,548314,275328,272986,711905,603558,18846,30312,108667,502634,87167,42558,711905,44762,90863,83214,76567,45494,54769,567387,537585,151727,271323,15121,13069,27810,26192,33940,43505,36753,38205,18626,18102,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,10,166865,135629,302494,1,d,491086,239035,252051,764859,586647,34064,73402,345032,489271,64339,23941,764859,51939,108822,100273,91693,46577,42947,563618,528307,98959,238915,9800,8040,17604,19460,28629,44162,32824,44755,18508,15133,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,11,271063,100293,371356,1,d,502739,243068,259671,765504,413527,71424,137706,222446,535458,141176,98580,765504,44325,100056,103017,101775,53703,49853,596603,572208,127054,268492,9379,8667,11293,13158,18638,34634,32168,50973,31525,58057,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,12,362950,0,362950,1,d,584273,296492,287781,779824,365775,52629,286578,118236,624292,223942,156197,779824,39247,187060,129891,100429,43641,41818,674104,658348,121453,331958,13194,17859,16079,13937,18811,33230,25740,48791,39525,104792,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,13,327863,34955,362818,1,d,541697,256790,284907,768889,312008,150916,187155,171755,553531,166580,131196,768889,52408,144970,114757,95489,41655,43278,627964,594203,113382,294896,16987,14432,17747,18279,23642,36821,29744,50092,31858,55294,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,14,278227,72684,350911,1,d,501803,242363,259440,742980,324124,26102,293334,171545,545305,156655,113394,742980,44724,115997,104503,98229,54029,45769,606527,581988,126778,255130,6670,5360,11357,9370,16557,26948,24236,44588,32906,77138,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,15,242991,99710,342701,1,d,502500,249505,252995,782312,320614,48121,322220,168024,550420,160260,104105,782312,38391,105796,123142,110437,53048,46489,603700,581988,111508,254639,6576,4839,9974,8527,12832,28156,29314,50763,35213,68445,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,16,128690,88039,216729,1,d,423209,204465,218744,753152,421820,47473,77433,467971,449986,42817,16772,753152,55642,117441,99065,78466,36533,34971,530084,491292,83510,217249,15453,12047,24428,25413,30447,38183,26043,27627,9308,8300,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
