year,state,district,age_pop,allage_m,allage_f,age_18_plus,allage_citzenpct,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2014,AK,1,736732,385582,351150,549963,44.0,736732,483584,38875,56354,49276,465149,85634,44630,63579,113774,93083,96361,50972,41060,516889,69899,249659,9813,8546,18358,18922,28810,46463,34054,48733,19989,15971
2014,AL,1,696783,337140,359643,533825,53.9,696783,468456,198226,12281,21560,471948,71101,37765,44344,85903,84764,95389,49405,43471,508219,113016,255303,25070,15648,35393,27081,38892,44905,26757,27321,7963,6273
2014,AL,2,678622,331056,347566,521685,64.3,678622,443780,213029,10607,21732,452170,59726,37979,51670,86601,85629,88417,46104,39950,494607,105469,258138,25446,17907,34693,30626,39775,45007,26298,25648,7528,5210
2014,AL,3,706574,345886,360688,548622,69.4,706574,492627,191228,11833,21219,467933,58202,37380,56229,86781,94170,91595,44989,44523,513090,105875,270971,31573,21222,32831,32492,40804,46587,27138,25111,7799,5414
2014,AL,4,683372,335709,347663,524888,75.6,683372,596472,52077,5448,40923,466499,46150,29961,41932,77053,86408,94764,48066,42818,499077,117390,259439,23595,21633,41627,31700,37951,46747,25039,21329,5941,3877
2014,AL,5,706373,343328,363045,547312,58.4,706373,542208,132327,14116,34993,481062,89911,51812,48743,91539,87104,104652,48230,43527,520206,106010,274891,23770,16881,30217,30108,38193,44914,31563,35589,13118,10538
2014,AL,6,696788,339221,357567,534807,67.5,696788,552743,105067,15508,34213,479767,100772,65210,38797,92692,95191,93407,49276,42671,510156,106530,265000,15336,11532,27212,28910,32303,48510,34651,37817,15986,12743
2014,AL,7,680865,315629,365236,529638,69.8,680865,223987,441617,5111,17773,437387,52196,26242,63860,95379,79968,82980,46176,40662,486033,92222,257475,41919,22858,41142,33203,37491,35511,22116,16261,3826,3148
2014,AR,1,723492,356105,367387,555336,68.3,723492,570516,137659,3730,22323,489049,50446,26218,46788,86257,91670,93335,45823,46251,525305,125713,282699,28059,25586,42280,37829,46124,47221,26138,19431,5477,4554
2014,AR,2,756326,366376,389950,576787,70.6,756326,552349,174076,14889,38418,501483,92135,49711,55886,106996,97262,96616,48439,44993,545799,107177,285873,21902,16833,36070,33235,42803,51956,33551,30981,9888,8654
2014,AR,3,767904,379592,388312,575565,69.5,767904,661353,29697,23671,105596,493179,78498,44171,59725,104375,99250,97532,47314,40152,539239,104556,283989,19589,19391,36458,32988,46325,50393,29382,29216,9735,10512
2014,AR,4,718647,354705,363942,552541,70.6,718647,538254,149061,5169,39426,484703,51332,28447,46208,80681,86385,93430,50777,45864,521990,127566,278727,28689,24817,40256,35162,44945,49478,25307,21282,4508,4283
2014,AZ,1,739373,371999,367374,555748,60.0,739373,486153,22335,16264,161410,476163,67744,42679,54431,88131,87962,86251,47068,45865,517158,120886,249074,26457,14560,26632,25997,35665,47171,29754,27916,7857,7065
2014,AZ,2,713036,354312,358724,565252,50.2,713036,580233,36507,32479,196933,492761,94657,70165,56632,88381,80776,87511,47252,49177,538211,139664,292370,20690,18978,34577,34543,42743,53684,32884,32453,11147,10671
2014,AZ,3,757119,380034,377085,549181,58.6,757119,562263,43968,18165,466627,443974,47727,23841,72658,106027,96130,86943,40657,33216,500928,81001,234874,25039,17014,30297,30189,37294,44523,24521,17611,5222,3164
2014,AZ,4,734258,371192,363066,587375,60.1,734258,650401,17495,14382,131848,535038,64237,37169,37665,76179,76817,83261,52258,55017,563987,191506,282598,19998,17457,35023,39101,48009,53058,31803,24953,6520,6676
2014,AZ,5,781441,382934,398507,563426,50.9,781441,670857,31216,42271,145229,504377,109458,60253,42412,93903,104672,102466,44539,37773,536395,121024,269256,12493,9120,24290,20825,34165,50883,36518,46630,19261,15071
2014,AZ,6,737185,357225,379960,584944,60.6,737185,633444,23733,44225,117558,530224,140789,84054,40356,102612,97684,107787,51989,47146,562406,123006,299053,15177,11384,24453,29536,40143,54864,35016,41293,18241,28946
2014,AZ,7,763089,381079,382010,520496,75.0,763089,480612,81669,27549,488335,430363,40177,19601,66125,121292,102488,88397,36922,28217,482670,53047,224388,31123,18944,35698,26626,35229,37778,17930,16013,3145,1902
2014,AZ,8,760904,358735,402169,592358,42.4,760904,640193,47026,32916,145663,534549,92411,54267,39941,89053,95907,97997,47482,49395,565963,154715,284913,14757,10305,23614,30683,40967,53641,41135,45215,13947,10649
2014,AZ,9,745079,385436,359643,590633,65.4,745079,569179,52387,41763,202853,488777,108584,64479,77902,129941,97003,95926,42956,37043,549447,85908,292217,22909,14817,31730,30428,42821,54557,33737,34654,12838,13726
2014,CA,1,710428,356480,353948,569061,50.1,710428,609675,17546,28266,94965,495413,75321,42959,54627,85096,73402,90212,50850,56342,538842,139511,273795,19745,20329,35341,31591,38830,47801,30063,30793,10195,9107
2014,CA,10,732084,362438,369646,530518,57.0,732084,537662,29351,65186,309863,455639,55539,24942,53389,100960,96879,94747,43839,35464,498229,83750,228743,14000,13545,21422,21503,32287,45139,30090,32163,11113,7481
2014,CA,11,739693,359276,380417,575892,51.4,739693,458725,68310,121688,197856,512839,134504,78499,46154,95426,100112,105234,53779,46542,550380,111746,268357,11628,11425,19583,17874,28923,44683,31176,45483,22130,35452
2014,CA,12,736123,376334,359789,641510,37.6,736123,367300,47898,257757,108707,588294,197068,130076,42293,171957,121983,99926,43247,44203,625161,106978,318240,20062,19143,23408,16737,26600,38749,33289,57879,30154,52219
2014,CA,13,743310,357749,385561,598473,49.8,743310,331662,148643,167111,166436,512368,128210,105812,64039,126550,108178,96330,43803,44545,565963,92962,282191,20678,16740,23112,23855,29223,44508,29115,44320,23753,26887
2014,CA,14,753002,370615,382387,599846,42.0,753002,347939,32397,269526,182379,537041,154225,89321,46261,112154,109964,109510,50084,46355,574219,108974,249842,8672,7208,13275,13485,21631,35092,29775,50497,27019,43188
2014,CA,15,753911,375090,378821,574097,46.4,753911,360146,59689,271900,171573,518302,126847,82782,38910,107169,113032,113096,50669,39917,550733,94419,245929,8158,6642,14011,16982,21708,33393,31905,50570,28888,33672
2014,CA,16,718849,358234,360615,501575,65.2,718849,409083,48539,72137,424973,416021,33869,15970,60963,103428,89944,82636,36365,30175,462872,73473,207675,19792,18959,29452,30259,31169,33421,18465,18052,4584,3522
2014,CA,17,756995,377959,379036,582278,48.9,756995,250694,26622,415903,121985,527626,149863,136703,40348,133484,123965,103207,44404,35877,560724,86689,248336,8367,5488,11779,11871,16569,30775,31309,53660,32963,45555
2014,CA,18,734378,368547,365831,568397,48.1,734378,478871,21893,185174,122860,514763,152504,154947,37402,96385,104883,114193,51244,42361,544785,105697,269816,9079,7795,12677,12767,21733,33028,29619,46404,30089,66625
2014,CA,19,746211,376378,369833,572690,43.1,746211,352028,27314,221836,310154,495206,105579,57111,56998,107414,106889,107805,46420,39685,541775,86993,221998,8036,9681,14652,15174,22080,31941,25723,43896,23446,27369
2014,CA,2,720049,357584,362465,575579,57.1,720049,574227,19495,38681,128657,516041,122237,82538,42797,82074,87940,103272,54460,58672,551019,129623,280016,16391,16708,24543,22629,32210,43029,32749,38682,20604,32471
2014,CA,20,732074,369712,362362,551467,70.7,732074,569208,19959,52530,383257,459444,73909,50041,64954,102628,91431,92340,44532,42193,507330,86320,222810,10224,10415,21182,20363,31657,39621,28199,30012,15147,15990
2014,CA,21,712295,373675,338620,491215,74.9,712295,507568,33527,29823,526733,406453,20986,7900,62269,113706,89895,84655,36027,25850,454451,56320,181929,14121,15906,29693,26211,31093,29728,15283,13468,4141,2285
2014,CA,22,739418,367427,371991,526603,56.3,739418,538102,34148,69406,345431,445903,69726,33840,58493,103223,89529,88484,42328,36786,492186,85553,235530,16612,12997,25200,24615,33886,42703,28275,29936,11898,9408
2014,CA,23,747914,375798,372116,536824,56.8,747914,566921,66047,44680,284304,463132,59891,29622,53835,109161,93750,91808,42634,38876,504281,86903,240106,19260,12758,26975,22014,29443,41388,30077,37174,12699,8318
2014,CA,24,726519,364405,362114,575963,66.5,726519,589206,20263,44294,258881,460726,91685,59581,79126,92020,80511,86131,47887,42726,517808,111451,248895,12785,11987,22069,24593,29308,42936,33209,39082,15730,17196
2014,CA,25,718796,350054,368742,521761,42.7,718796,454790,70579,75484,269831,455714,82753,36804,46480,89865,96914,107642,50927,34616,491274,75750,220969,13335,7270,17307,16213,24893,37410,33459,34865,19652,16565
2014,CA,26,725795,359375,366420,546744,54.8,725795,583740,20387,59227,324441,473793,95072,56868,52051,96086,89336,101563,47480,40809,516324,98519,228883,9315,7205,15959,18465,24964,38816,33898,39581,18274,22406
2014,CA,27,714911,348406,366505,578759,37.7,714911,283221,34121,285039,201174,513327,124204,84990,48504,97550,98336,105045,53768,42471,552882,116157,239911,13357,11437,22027,19667,25256,39409,28894,36946,19392,23526
2014,CA,28,721435,360229,361206,607189,40.8,721435,482278,22394,111948,191743,547313,158418,80694,46031,145325,109064,103301,46186,39677,586124,103760,292855,17374,20022,32991,27321,32105,45465,32601,38376,20473,26127
2014,CA,29,718633,363385,355248,545798,54.8,718633,398751,30898,59537,496277,460398,62824,19696,64571,119101,98671,98066,40876,31538,511143,72146,201576,12754,14426,25524,23891,28072,36742,24926,22570,7775,4896
2014,CA,3,720104,359673,360431,551785,50.9,720104,470612,52610,98921,209044,461728,67591,44184,63056,99438,85780,97572,42926,42800,510164,93212,245160,17504,14388,23525,22686,31593,44135,30204,34537,15413,11175
2014,CA,30,754331,374681,379650,604339,36.6,754331,503027,49925,106959,203074,533567,150843,75772,52922,111917,108990,105296,50870,46321,576020,110173,276791,14819,10939,23778,22764,28974,46040,32874,44739,23576,28288
2014,CA,31,738321,362137,376184,534242,51.9,738321,456059,85713,73908,377404,451284,65421,38387,60670,115612,95031,92361,44695,31346,501501,72239,217372,16182,12513,24179,20499,29809,38608,23819,30546,12534,8683
2014,CA,32,735945,363182,372763,563317,45.2,735945,333747,28526,144666,455983,480548,68802,27327,60208,101813,100530,97156,44848,40948,527558,95253,198676,8306,8420,20651,20342,29372,35988,24342,31385,11492,8378
2014,CA,33,714411,346945,367466,585950,36.7,714411,533125,24464,122559,92093,521423,190919,142837,42958,106473,96133,111448,47269,41214,555565,118886,297852,15793,10586,17216,13571,21928,39957,26699,53129,33198,65775
2014,CA,34,720406,364424,355982,560151,62.0,720406,307589,34270,154399,466707,483225,83281,33235,58156,126009,113888,92163,38556,34286,530927,78323,239711,25693,21458,41137,29314,35464,36959,19598,16378,6580,7130
2014,CA,35,732845,370949,361896,534918,57.0,732845,351243,55065,50179,516327,441060,43944,17262,68315,111113,102479,97115,42645,27135,498043,60573,185910,10927,9118,19274,17772,28378,37217,26381,24379,8298,4166
2014,CA,36,746522,372140,374382,563556,60.6,746522,509325,39457,32979,366565,499548,64789,38952,45083,89808,87004,92470,40643,44008,536040,145615,261820,18891,18989,35753,31239,38688,43987,27869,27183,10136,9085
2014,CA,37,723724,347841,375883,581532,55.9,723724,323503,171312,85856,284410,496720,109884,74161,65114,124687,106025,95293,43719,38070,551968,88926,271981,23294,21693,31500,26837,33191,42986,28422,29806,14192,20060
2014,CA,38,720208,352305,367903,554198,44.9,720208,356390,31438,118606,454316,476194,69616,29816,57741,101976,97526,96783,45933,37485,523869,96491,203362,8977,9090,18599,16860,28251,38776,29021,31214,13793,8781
2014,CA,39,716854,352089,364765,552525,41.0,716854,381654,23928,225977,245165,477219,128542,60793,57602,94904,94451,103140,49263,39183,522051,96278,219406,9902,7715,13580,13631,25294,36865,27948,41503,21969,20999
2014,CA,4,719688,360796,358892,567136,46.5,719688,620463,13634,46014,92353,512992,108512,55550,36563,76223,85963,104280,54506,54316,539594,137704,267604,12685,10518,23079,22924,30525,45671,36440,43054,21607,21101
2014,CA,40,713940,353011,360929,502484,67.6,713940,387047,37739,25124,620204,421698,28372,10553,59367,108732,101259,89100,38033,28649,468730,55925,179453,13550,14834,26624,24696,30365,33333,17742,13180,3449,1680
2014,CA,41,739287,367493,371794,533455,56.2,739287,391578,72385,58016,435627,435655,41710,23439,70584,108611,96905,88961,40888,33394,491153,66896,191499,11741,8038,20573,19334,26722,38973,27181,24735,8935,5267
2014,CA,42,754191,373981,380210,552804,47.1,754191,507575,58087,79716,282599,478216,74071,41846,53735,102239,102404,106984,44768,36038,521729,85783,219885,10273,7117,15941,17959,23342,40022,33420,42928,16411,12472
2014,CA,43,731916,350226,381690,553734,56.6,731916,275481,197865,97906,335050,475266,80906,34332,56023,115004,100567,97723,45776,34006,518794,82190,240996,17735,13730,28080,29831,34348,42628,25841,29349,10642,8812
2014,CA,44,726147,359918,366229,521586,61.9,726147,329140,124891,49025,511932,432835,35332,12699,65941,115691,91717,94161,38626,30775,485419,61865,184112,11675,11886,24743,24338,26142,32357,22439,21097,5193,4242
2014,CA,45,763368,371631,391737,588453,42.6,763368,485882,22551,190009,152464,518162,163802,103777,48140,103356,105542,113562,52922,40720,557823,102060,265906,12353,6201,13418,15318,22978,37428,33720,53402,31309,39779
2014,CA,46,730783,370971,359812,537920,61.9,730783,441838,15034,103852,487988,448006,59349,20366,64960,120220,103040,93416,37128,29742,499950,64460,187247,8668,8827,18930,22104,26641,35621,27530,24116,8975,5835
2014,CA,47,718747,353048,365699,557737,44.9,718747,409600,56347,180350,246848,484613,95462,48412,52770,104545,99128,108126,43895,39804,527776,89115,242825,15320,13556,23701,21997,30183,39090,30892,36717,17769,13600
2014,CA,48,726491,359951,366540,586618,36.9,726491,473787,12688,150466,155791,523123,144469,85102,48664,104535,93527,110699,55707,43058,560907,115597,268779,11015,7837,18319,18294,25525,41567,34176,47162,26699,38185
