year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_nonwhite,ed_pop,ed_4y,ed_no4y,age_pop,age_18_34,age_35_49,age_50_64,age_65_plus,inc_pop,inc_lt_50,inc_50_100,inc_100_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,4yrDegree"
2012,CA,11,200743,87136,287879,0,d,278007,135982,142025,726253,469187,257066,494136,205089,289047,726253,120663,149391,147745,105029,263384,93880,75048,94456,-8,11,18,0,-4,-11,20,-6,-14,-20,50,3,1
2012,CA,12,253709,44478,298187,0,d,265714,135855,129859,717042,371702,345340,568665,313551,255114,717042,200267,167311,134247,100258,313416,117943,73960,121513,-8,11,18,0,-4,-11,20,-6,-14,-20,49,3,1
2012,CA,13,250436,0,288582,0,d,294748,144298,150450,719569,331694,387875,493727,221836,271891,719569,155209,155911,135338,86003,279932,126321,75175,78436,-8,11,18,0,-4,-11,20,-6,-14,-20,54,3,2
2012,CA,14,203828,54455,258283,0,d,246984,121761,125223,725771,361692,364079,513735,212393,301342,725771,126509,163047,148566,102358,248922,79723,71795,97404,-8,11,18,0,-4,-11,20,-6,-14,-20,45,3,1
2012,CA,15,231034,0,231034,0,d,232956,113909,119047,732515,365847,366668,494154,202562,291592,732515,127296,166050,142953,84329,239872,68519,64161,107192,-8,11,18,0,-4,-11,20,-6,-14,-20,49,3,0
2012,CA,16,84649,62801,147450,0,d,343962,170535,173427,716746,385426,331320,408758,45392,363366,716746,140439,129904,106976,65595,202894,128445,52090,22359,-8,11,18,0,-4,-11,20,-6,-14,-20,43,3,-1
2012,CA,17,159392,57336,216728,0,d,258716,130421,128295,719276,242214,477062,495849,258247,237602,719276,140766,173613,126598,78607,238752,58645,58699,121408,-8,11,18,0,-4,-11,20,-6,-14,-20,47,3,2
2012,CA,18,212831,89103,301934,0,d,287562,143479,144083,736397,502414,233983,511046,297247,213799,736397,122148,162346,149397,100819,272803,70753,63642,138408,-8,11,18,0,-4,-11,20,-6,-14,-20,45,3,3
2012,CA,19,162300,59313,221613,0,r,248076,123910,124166,712983,358326,354657,466318,149076,317242,712983,141259,155177,128296,74218,215927,74862,60171,80894,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,0
2012,CA,2,226216,91310,317526,0,r,309854,153396,156458,704148,566582,137566,500996,194658,306338,704148,97509,141840,162231,119806,276990,117786,75974,83230,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,1
2012,CA,20,172996,60566,233562,0,d,375729,191436,184293,721890,555539,166351,449034,123030,326004,721890,136949,137903,128607,81372,220555,91112,70890,58553,-8,11,18,0,-4,-11,20,-6,-14,-20,41,3,1
2012,CA,21,49119,67164,116283,0,r,371020,197585,173435,712866,471144,241722,399986,30965,369021,712866,149406,133806,99038,56866,179764,117146,44917,17701,-8,11,18,0,-4,-11,20,-6,-14,-20,41,3,-1
2012,CA,22,81555,132386,213941,0,r,319016,157903,161113,717545,517179,200366,427979,100893,327086,717545,137203,131377,113796,78448,231140,115396,66407,49337,-8,11,18,0,-4,-11,20,-6,-14,-20,42,3,0
2012,CA,23,0,158161,216003,0,d,284549,144554,139995,713959,533668,180291,441804,84051,357753,713959,130569,137839,127173,81263,233228,110527,72463,50238,-8,11,18,0,-4,-11,20,-6,-14,-20,45,3,0
2012,CA,24,156749,127746,284495,0,r,356655,179342,177313,716974,559594,157380,455051,143389,311662,716974,135433,126675,132844,103682,248108,103891,77192,67025,-8,11,18,0,-4,-11,20,-6,-14,-20,41,3,1
2012,CA,25,106982,129593,236575,0,r,245114,123566,121548,717685,464699,252986,440967,123631,317336,717685,112045,154782,132637,68511,218307,79776,67783,70748,-8,11,18,0,-4,-11,20,-6,-14,-20,46,3,0
2012,CA,26,139072,124863,263935,0,r,303378,150649,152729,711999,554789,157210,459808,143612,316196,711999,124109,141713,134896,92307,224847,77997,73090,73760,-8,11,18,0,-4,-11,20,-6,-14,-20,41,3,1
2012,CA,27,154191,86817,241008,0,d,214206,104045,110161,710190,316863,393327,505893,205746,300147,710190,131599,148711,150687,109035,243811,95542,69975,78294,-8,11,18,0,-4,-11,20,-6,-14,-20,46,3,1
2012,CA,28,188703,58008,246711,0,d,250648,126692,123956,727828,495526,232302,533789,219951,313838,727828,166828,165531,137263,99967,293413,139624,76793,76996,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,0
2012,CA,29,111287,0,150281,0,d,296262,148349,147913,722810,449952,272858,453288,91995,361293,722810,156711,150093,115764,66744,202011,111429,58787,31795,-8,11,18,0,-4,-11,20,-6,-14,-20,41,3,-2
2012,CA,3,126882,107086,233968,0,r,281080,141114,139966,712075,468948,243127,445983,106344,339639,712075,132977,135255,134098,82660,240968,113725,73461,53782,-8,11,18,0,-4,-11,20,-6,-14,-20,47,3,1
2012,CA,30,247851,0,247851,0,d,244171,119367,124804,729053,491626,237427,507614,214884,292730,729053,133074,164997,141552,98298,266007,102088,78342,85577,-8,11,18,0,-4,-11,20,-6,-14,-20,46,3,0
2012,CA,31,0,161219,161219,0,d,271801,134246,137555,724413,437402,287011,433224,96757,336467,724413,141687,143632,118077,66524,209465,99746,65357,44362,-8,11,18,0,-4,-11,20,-6,-14,-20,46,3,1
2012,CA,32,124903,65208,190111,0,d,270592,132746,137846,718635,369434,349201,458498,89535,368963,718635,140991,144644,126411,82325,192970,83154,65745,44071,-8,11,18,0,-4,-11,20,-6,-14,-20,42,3,0
2012,CA,33,171860,0,318520,0,d,230688,111615,119073,701029,535436,165593,499996,306369,193627,701029,116559,154121,144811,109074,291359,82883,70587,137889,-8,11,18,0,-4,-11,20,-6,-14,-20,48,3,2
2012,CA,34,120367,20223,140590,0,d,353832,181620,172212,708100,240547,467553,473016,103710,369306,708100,170449,149314,120208,72309,237541,157748,53228,26565,-8,11,18,0,-4,-11,20,-6,-14,-20,42,3,-1
2012,CA,35,142680,0,142680,0,d,311060,154765,156295,718067,410225,307842,426346,58900,367446,718067,153354,141558,114632,53967,183023,87330,64038,31655,-8,11,18,0,-4,-11,20,-6,-14,-20,42,3,-2
2012,CA,36,110189,97953,208142,0,d,325994,164775,161219,714975,462849,252126,475016,96695,378321,714975,108976,126002,128342,135311,250613,142149,66277,42187,-8,11,18,0,-4,-11,20,-6,-14,-20,43,3,1
2012,CA,37,207039,32541,239580,0,d,328318,158250,170068,716299,280913,435386,488590,178648,309942,716299,166984,153527,124323,84935,272662,139915,72989,59758,-8,11,18,0,-4,-11,20,-6,-14,-20,56,3,1
2012,CA,38,145280,69807,215087,0,d,237430,115692,121738,715745,400795,314950,461112,100831,360281,715745,135514,145865,130695,87347,203928,84635,67133,52160,-8,11,18,0,-4,-11,20,-6,-14,-20,42,3,0
2012,CA,39,106360,145607,251967,0,d,242357,119622,122735,718996,390410,328586,483562,188373,295189,718996,135997,149435,144406,91911,222106,73088,71065,77953,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,0
2012,CA,4,125885,197803,323688,1,r,251883,126765,125118,704230,600122,104108,500209,151755,348454,704230,94621,139667,158986,128208,263710,107484,82282,73944,-8,11,18,0,-4,-11,20,-6,-14,-20,45,3,0
2012,CA,40,125553,0,125553,0,r,324877,159354,165523,694514,373645,320869,399124,36594,362530,694514,142265,138891,95947,55372,172821,109711,46087,17023,-8,11,18,0,-4,-11,20,-6,-14,-20,40,3,-2
2012,CA,41,103578,72074,175652,0,r,321391,159254,162137,726487,431902,294585,423304,72467,350837,726487,150730,140499,113121,62038,195850,97668,61491,36691,-8,11,18,0,-4,-11,20,-6,-14,-20,45,3,1
2012,CA,42,84702,130245,214947,0,r,245367,121384,123983,745833,532828,213005,458885,103216,355669,745833,122651,160098,126431,78035,215114,79007,75668,60439,-8,11,18,0,-4,-11,20,-6,-14,-20,45,3,0
2012,CA,43,200894,0,200894,0,d,302761,147896,154865,697985,255509,442476,450623,108417,342206,697985,140543,147545,116845,75660,233691,126272,65059,42360,-8,11,18,0,-4,-11,20,-6,-14,-20,52,3,0
2012,CA,44,165898,0,165898,0,r,295776,144245,151531,714989,298270,416719,408491,46726,361765,714989,139651,142781,105151,60244,182199,100899,53601,27699,-8,11,18,0,-4,-11,20,-6,-14,-20,46,3,-2
